,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
2,"<span class=""street-address"">1130 W 86th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260</span>, <span class=""country-name"">USA</span>",Rusty Bucket Restaurant and Tavern,2.0,4.5,False,True,False,point_of_interest,
3,"<span class=""street-address"">1130 W 86th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260</span>, <span class=""country-name"">USA</span>",Rusty Bucket Restaurant and Tavern,2.0,4.5,False,True,False,food,
4,"<span class=""street-address"">1130 W 86th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260</span>, <span class=""country-name"">USA</span>",Rusty Bucket Restaurant and Tavern,2.0,4.5,False,True,False,establishment,
0,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,bar,
1,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,restaurant,
2,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,point_of_interest,
3,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,food,
4,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,establishment,
0,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,bar,
1,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,restaurant,
2,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,food,
3,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,point_of_interest,
4,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,establishment,
0,"<span class=""street-address"">2489 W 30th St #2268</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46222</span>, <span class=""country-name"">USA</span>",Iron Skillet Restaurant,2.0,4.5,,True,True,restaurant,
1,"<span class=""street-address"">2489 W 30th St #2268</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46222</span>, <span class=""country-name"">USA</span>",Iron Skillet Restaurant,2.0,4.5,,True,True,food,
2,"<span class=""street-address"">2489 W 30th St #2268</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46222</span>, <span class=""country-name"">USA</span>",Iron Skillet Restaurant,2.0,4.5,,True,True,point_of_interest,
